,Time,RAM
0,4.5643932819366455,0.35358619689941406
1,2.0446221828460693,0.2484149932861328
2,2.049649715423584,0.3466167449951172
3,1.8965075016021729,0.4138946533203125
4,1.7432429790496826,0.3650970458984375
5,1.8217740058898926,0.36508750915527344
6,1.7787864208221436,0.3651256561279297
7,1.7347495555877686,0.36518287658691406
8,1.721245527267456,0.4138965606689453
9,1.709568977355957,0.41385650634765625
10,1.738725185394287,0.38294219970703125
11,2.194218873977661,0.3829212188720703
12,1.7813267707824707,0.48111915588378906
13,1.7664415836334229,0.3828926086425781
14,1.7638649940490723,0.4811267852783203
